CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURINR27-JAN-2017,71.7425,71.66,71.665,71.21,71.275,71.275,-.65,37897,45380,45380,3242308760
FUTCUREURINR23-FEB-2017,72.02,71.95,71.9525,71.52,71.585,71.585,-.6,4750,2482,2482,178063007.5
FUTCUREURINR29-MAR-2017,72.3,72.105,72.2,71.84,71.8975,71.8975,-.55,439,137,137,9872997.5
FUTCUREURINR26-APR-2017,72.34,72.34,72.34,72.1,72.125,72.125,-.29,54,7,7,505045
FUTCUREURINR29-MAY-2017,73.28,0,0,0,,72.6675,-.83,2,0,0,0
FUTCUREURINR28-JUN-2017,73.645,0,0,0,,73.0275,-.83,0,0,0,0
FUTCUREURINR27-JUL-2017,74.0025,0,0,0,,73.375,-.84,1,0,0,0
FUTCUREURINR29-AUG-2017,74.4925,0,0,0,,73.8725,-.83,0,0,0,0
FUTCUREURINR27-SEP-2017,74.8625,0,0,0,,74.2375,-.83,0,0,0,0
FUTCUREURINR27-OCT-2017,75.2475,0,0,0,,74.615,-.84,0,0,0,0
FUTCUREURINR28-NOV-2017,75.66,0,0,0,,75.0225,-.84,0,0,0,0
FUTCUREURINR27-DEC-2017,76.035,0,0,0,,75.3925,-.84,0,0,0,0
FUTCURGBPINR27-JAN-2017,84.13,84.01,84.255,83.76,84.17,84.17,.04,24023,44461,44461,3737058127.5
FUTCURGBPINR23-FEB-2017,84.4875,84.34,84.6,84.1225,84.525,84.525,.04,2710,1139,1139,96134515
FUTCURGBPINR29-MAR-2017,84.935,84.89,84.89,84.5,84.7125,84.7125,-.26,179,72,72,6100030
FUTCURGBPINR26-APR-2017,85.28,84.85,85,84.81,85,85.205,-.08,76,3,3,254660
FUTCURGBPINR29-MAY-2017,85.6975,85,85.39,85,85.35,85.6225,-.08,78,3,3,255740
FUTCURGBPINR28-JUN-2017,86.07,0,0,0,,85.99,-.09,0,0,0,0
FUTCURGBPINR27-JUL-2017,86.435,0,0,0,,86.35,-.09,0,0,0,0
FUTCURGBPINR29-AUG-2017,86.885,0,0,0,,86.81,-.08,0,0,0,0
FUTCURGBPINR27-SEP-2017,87.2575,0,0,0,,87.18,-.08,5,0,0,0
FUTCURGBPINR27-OCT-2017,87.6425,0,0,0,,87.5625,-.09,0,0,0,0
FUTCURGBPINR28-NOV-2017,88.055,0,0,0,,87.9725,-.09,0,0,0,0
FUTCURGBPINR27-DEC-2017,88.4325,0,0,0,,88.345,-.09,0,0,0,0
FUTCURJPYINR27-JAN-2017,58.3925,58.3875,58.3875,57.9625,58,58,-.67,33207,23459,23459,1362985335
FUTCURJPYINR23-FEB-2017,58.6825,58.5975,58.5975,58.17,58.235,58.235,-.76,4645,1565,1565,91273560
FUTCURJPYINR29-MAR-2017,58.9125,58.6,58.6,58.6,58.6,58.5075,-.68,18,1,1,58600
FUTCURJPYINR26-APR-2017,59.1725,0,0,0,,58.76,-.69,0,0,0,0
FUTCURJPYINR29-MAY-2017,59.5075,0,0,0,,59.095,-.69,0,0,0,0
FUTCURJPYINR28-JUN-2017,59.7925,0,0,0,,59.375,-.69,0,0,0,0
FUTCURJPYINR27-JUL-2017,60.07,0,0,0,,59.6475,-.7,0,0,0,0
FUTCURJPYINR29-AUG-2017,60.4625,0,0,0,,60.045,-.69,0,0,0,0
FUTCURJPYINR27-SEP-2017,60.7525,0,0,0,,60.33,-.69,0,0,0,0
FUTCURJPYINR27-OCT-2017,61.055,0,0,0,,60.6275,-.7,0,0,0,0
FUTCURJPYINR28-NOV-2017,61.3775,0,0,0,,60.9475,-.7,0,0,0,0
FUTCURJPYINR27-DEC-2017,61.6725,0,0,0,,61.2375,-.7,0,0,0,0
FUTCURUSDINR27-JAN-2017,68.3775,68.2675,68.515,68.2025,68.485,68.485,.15,1705826,1468676,1468676,100442520415
FUTCURUSDINR23-FEB-2017,68.5975,68.485,68.73,68.4275,68.7025,68.7025,.15,210448,84045,84045,5765359985
FUTCURUSDINR29-MAR-2017,68.8125,68.71,68.95,68.66,68.9325,68.9325,.17,76266,9177,9177,631887637.5
FUTCURUSDINR26-APR-2017,69.0475,68.9525,69.19,68.9,69.1775,69.1775,.18,40180,4187,4187,289399112.5
FUTCURUSDINR29-MAY-2017,69.2575,69.19,69.365,69.1,69.365,69.365,.15,17648,303,303,20992295
FUTCURUSDINR28-JUN-2017,69.46,69.305,69.5525,69.305,69.5475,69.5475,.12,5694,188,188,13065527.5
FUTCURUSDINR27-JUL-2017,69.64,69.535,69.75,69.535,69.6675,70.06,.6,2251,12,12,834767.5
FUTCURUSDINR29-AUG-2017,69.76,69.57,69.57,69.57,69.57,70.33,.81,2800,1,1,69570
FUTCURUSDINR27-SEP-2017,70.02,70.03,70.2,70.03,70.18,70.18,.22,3811,52,52,3644635
FUTCURUSDINR27-OCT-2017,70.2325,70.29,70.45,69.975,70.3875,70.3875,.22,17006,105,105,7381572.5
FUTCURUSDINR28-NOV-2017,70.4675,70.4,70.64,70.265,70.5825,70.5825,.16,3814,1109,1109,78170270
FUTCURUSDINR27-DEC-2017,70.6925,70.56,70.8,70.53,70.7925,70.7925,.14,2362,768,768,54332920
