CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.0625,0,0,0,,4.085,.0225,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,3.815,0,0,0,,3.835,.02,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.5675,0,0,0,,3.5875,.02,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65,3.32,0,0,0,,3.34,.02,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.075,0,0,0,,3.095,.02,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,2.83,0,0,0,,2.8475,.0175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.59,0,0,0,,2.605,.015,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.35,0,0,0,,2.365,.015,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.1175,0,0,0,,2.13,.0125,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,1.89,0,0,0,,1.9,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,1.67,0,0,0,,1.675,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.26,0,0,0,,1.4625,.2025,10,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.25,1.26,0,0,0,,1.26,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,.915,.9975,1.03,.9975,.9975,.9975,.0825,787,506,506,,34662167.5,507167.5
OPTCURUSDINR23-FEB-2017CE67.75,.9025,.77,.77,.77,.77,.77,.1325,1,1,1,,68520,770
OPTCURUSDINR23-FEB-2017CE68,.6925,.6075,.715,.58,.665,.665,.0275,22464,2429,2429,,166741790,1569790
OPTCURUSDINR23-FEB-2017CE68.25,.53,.47,.57,.47,.56,.56,.03,592,102,102,,7018540,57040
OPTCURUSDINR23-FEB-2017CE68.5,.46,.3825,.485,.3675,.43,.43,.03,23987,3080,3080,,212315060,1335060
OPTCURUSDINR23-FEB-2017CE68.75,.35,0,0,0,,.3725,.0225,53,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69,.2925,.235,.32,.2275,.2725,.2725,.02,181920,24527,24527,,1699005662.5,6642662.5
OPTCURUSDINR23-FEB-2017CE69.25,.2275,0,0,0,,.215,.0125,56,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69.5,.1825,.145,.19,.14,.1675,.1675,.015,75778,9066,9066,,631586577.5,1499577.5
OPTCURUSDINR23-FEB-2017CE69.75,.125,0,0,0,,.115,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70,.125,.095,.1275,.0875,.11,.11,.015,25953,8804,8804,,617251587.5,971587.5
OPTCURUSDINR23-FEB-2017CE70.25,.0625,0,0,0,,.0575,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.5,.045,0,0,0,,.0375,.0075,104,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.75,.03,0,0,0,,.025,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71,.04,.04,.04,.04,.04,.04,0,3127,1010,1010,,71750400,40400
OPTCURUSDINR23-FEB-2017CE71.25,.0125,0,0,0,,.01,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.5,.01,0,0,0,,.0075,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.75,.005,0,0,0,,.005,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.5,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65,.005,0,0,0,,.005,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.25,.0075,0,0,0,,.005,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.5,.0125,0,0,0,,.01,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.75,.02,0,0,0,,.015,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66,.03,0,0,0,,.0225,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.25,.045,0,0,0,,.035,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.5,.04,0,0,0,,.055,.015,502,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.75,.0925,0,0,0,,.08,.0125,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67,.1025,.1,.1,.06,.06,.06,.0425,2350,14294,14294,,958847720,1149720
OPTCURUSDINR23-FEB-2017PE67.25,.1825,0,0,0,,.16,.0225,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67.5,.185,.2075,.215,.1625,.1675,.1675,.0175,26180,5840,5840,,395310835,1110835
OPTCURUSDINR23-FEB-2017PE67.75,.3225,.2525,.2525,.2025,.2025,.2025,.12,65,25,25,,1699812.5,6062.5
OPTCURUSDINR23-FEB-2017PE68,.3625,.4225,.4225,.315,.34,.34,.0225,62333,11837,11837,,809317890,4401890
OPTCURUSDINR23-FEB-2017PE68.25,.5275,0,0,0,,.4925,.035,143,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE68.5,.625,.685,.69,.5725,.58,.58,.045,11942,416,416,,28760745,264745
OPTCURUSDINR23-FEB-2017PE68.75,.8,.78,.78,.78,.78,.78,.02,0,1,1,,69530,780
OPTCURUSDINR23-FEB-2017PE69,.9525,1.045,1.055,.91,.97,.97,.0175,50151,3257,3257,,227829740,3096740
OPTCURUSDINR23-FEB-2017PE69.25,1.1375,0,0,0,,1.105,.0325,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.5,1.33,0,0,0,,1.2975,.0325,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.75,1.5325,0,0,0,,1.5,.0325,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70,1.7475,0,0,0,,1.715,.0325,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.25,1.97,0,0,0,,1.94,.03,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.5,2.1975,0,0,0,,2.17,.0275,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.75,2.4325,0,0,0,,2.405,.0275,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71,2.6725,0,0,0,,2.645,.0275,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.25,2.9125,0,0,0,,2.8875,.025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.5,3.1575,0,0,0,,3.1325,.025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.75,3.4025,0,0,0,,3.38,.0225,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.5,4.61,0,0,0,,4.6225,.0125,293,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.75,4.36,0,0,0,,4.3725,.0125,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64,3.97,3.97,4.12,3.97,4.065,4.065,.095,5241,4,4,,272220,16220
OPTCURUSDINR27-JAN-2017CE64.25,3.8625,0,0,0,,3.875,.0125,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64.5,3.6125,0,0,0,,3.625,.0125,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64.75,3.3625,0,0,0,,3.375,.0125,134,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65,2.97,0,0,0,,3.125,.155,4779,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65.25,2.865,0,0,0,,2.8775,.0125,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65.5,2.4525,0,0,0,,2.6275,.175,2259,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65.75,2.3675,0,0,0,,2.3775,.01,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE66,2.05,2.15,2.15,2.15,2.15,2.15,.1,3742,5,5,,340750,10750
OPTCURUSDINR27-JAN-2017CE66.25,1.875,0,0,0,,1.885,.01,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE66.5,1.5925,1.55,1.7,1.45,1.6,1.6,.0075,5197,1037,1037,,70591387.5,1630887.5
OPTCURUSDINR27-JAN-2017CE66.75,1.3975,0,0,0,,1.4025,.005,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE67,1.1325,1,1.15,.99,1.115,1.115,.0175,30678,350,350,,23813517.5,363517.5
OPTCURUSDINR27-JAN-2017CE67.25,.96,0,0,0,,.9575,.0025,185,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE67.5,.7025,.61,.755,.5625,.69,.69,.0125,170225,5794,5794,,395008912.5,3913912.5
OPTCURUSDINR27-JAN-2017CE67.75,.5225,.43,.57,.41,.5075,.5075,.015,9347,4627,4627,,315637470,2158220
OPTCURUSDINR27-JAN-2017CE68,.39,.305,.4275,.2875,.365,.365,.025,221949,91658,91658,,6265080425,32336425
OPTCURUSDINR27-JAN-2017CE68.25,.2775,.215,.3,.2,.255,.255,.0225,60151,46557,46557,,3189211300,11696050
OPTCURUSDINR27-JAN-2017CE68.5,.1975,.1475,.2125,.135,.18,.18,.0175,253780,114783,114783,,7883193337.5,20557837.5
OPTCURUSDINR27-JAN-2017CE68.75,.14,.0975,.1425,.0925,.1175,.1175,.0225,31825,28125,28125,,1936970547.5,3376797.5
OPTCURUSDINR27-JAN-2017CE69,.0975,.0675,.1,.0625,.08,.08,.0175,467969,100112,100112,,6916099230,8371230
OPTCURUSDINR27-JAN-2017CE69.25,.0625,.045,.065,.0425,.05,.05,.0125,17832,1768,1768,,122529977.5,95977.5
OPTCURUSDINR27-JAN-2017CE69.5,.0475,.035,.0425,.03,.035,.035,.0125,78446,28817,28817,,2003839250,1057750
OPTCURUSDINR27-JAN-2017CE69.75,.015,.03,.035,.03,.035,.035,.02,12234,8477,8477,,591567345,296595
