DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
04-JAN-2017,FUTCUR,EURINR,27-JAN-2017,71.3475000
04-JAN-2017,FUTCUR,EURINR,23-FEB-2017,71.6400000
04-JAN-2017,FUTCUR,EURINR,29-MAR-2017,72.0000000
04-JAN-2017,FUTCUR,EURINR,26-APR-2017,72.3275000
04-JAN-2017,FUTCUR,EURINR,29-MAY-2017,72.7400000
04-JAN-2017,FUTCUR,EURINR,28-JUN-2017,73.0975000
04-JAN-2017,FUTCUR,EURINR,27-JUL-2017,73.4475000
04-JAN-2017,FUTCUR,EURINR,29-AUG-2017,73.9375000
04-JAN-2017,FUTCUR,EURINR,27-SEP-2017,74.3000000
04-JAN-2017,FUTCUR,EURINR,27-OCT-2017,74.6800000
04-JAN-2017,FUTCUR,EURINR,28-NOV-2017,75.0850000
04-JAN-2017,FUTCUR,EURINR,27-DEC-2017,75.4550000
04-JAN-2017,FUTCUR,GBPINR,27-JAN-2017,83.7550000
04-JAN-2017,FUTCUR,GBPINR,23-FEB-2017,84.1200000
04-JAN-2017,FUTCUR,GBPINR,29-MAR-2017,84.4125000
04-JAN-2017,FUTCUR,GBPINR,26-APR-2017,84.7675000
04-JAN-2017,FUTCUR,GBPINR,29-MAY-2017,85.1750000
04-JAN-2017,FUTCUR,GBPINR,28-JUN-2017,85.5425000
04-JAN-2017,FUTCUR,GBPINR,27-JUL-2017,85.8975000
04-JAN-2017,FUTCUR,GBPINR,29-AUG-2017,86.3550000
04-JAN-2017,FUTCUR,GBPINR,27-SEP-2017,86.7200000
04-JAN-2017,FUTCUR,GBPINR,27-OCT-2017,87.0975000
04-JAN-2017,FUTCUR,GBPINR,28-NOV-2017,87.5050000
04-JAN-2017,FUTCUR,GBPINR,27-DEC-2017,87.8750000
04-JAN-2017,FUTCUR,JPYINR,27-JAN-2017,58.2000000
04-JAN-2017,FUTCUR,JPYINR,23-FEB-2017,58.4600000
04-JAN-2017,FUTCUR,JPYINR,29-MAR-2017,58.6525000
04-JAN-2017,FUTCUR,JPYINR,26-APR-2017,58.9050000
04-JAN-2017,FUTCUR,JPYINR,29-MAY-2017,59.2400000
04-JAN-2017,FUTCUR,JPYINR,28-JUN-2017,59.5200000
04-JAN-2017,FUTCUR,JPYINR,27-JUL-2017,59.7925000
04-JAN-2017,FUTCUR,JPYINR,29-AUG-2017,60.1875000
04-JAN-2017,FUTCUR,JPYINR,27-SEP-2017,60.4750000
04-JAN-2017,FUTCUR,JPYINR,27-OCT-2017,60.7700000
04-JAN-2017,FUTCUR,JPYINR,28-NOV-2017,61.0900000
04-JAN-2017,FUTCUR,JPYINR,27-DEC-2017,61.3800000
04-JAN-2017,FUTCUR,USDINR,27-JAN-2017,68.2250000
04-JAN-2017,FUTCUR,USDINR,23-FEB-2017,68.4500000
04-JAN-2017,FUTCUR,USDINR,29-MAR-2017,68.6775000
04-JAN-2017,FUTCUR,USDINR,26-APR-2017,68.9350000
04-JAN-2017,FUTCUR,USDINR,29-MAY-2017,69.1250000
04-JAN-2017,FUTCUR,USDINR,28-JUN-2017,69.3050000
04-JAN-2017,FUTCUR,USDINR,27-JUL-2017,69.5300000
04-JAN-2017,FUTCUR,USDINR,29-AUG-2017,70.0225000
04-JAN-2017,FUTCUR,USDINR,27-SEP-2017,69.9675000
04-JAN-2017,FUTCUR,USDINR,27-OCT-2017,70.2075000
04-JAN-2017,FUTCUR,USDINR,28-NOV-2017,70.3750000
04-JAN-2017,FUTCUR,USDINR,27-DEC-2017,70.5750000
04-JAN-2017,OPTCUR,USDINR,,68.0500000
