DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
13-JAN-2017,FUTIDX,BANKNIFTY,25-JAN-2017,18945.60
13-JAN-2017,FUTIDX,BANKNIFTY,23-FEB-2017,19007.00
13-JAN-2017,FUTIDX,BANKNIFTY,30-MAR-2017,18996.95
13-JAN-2017,FUTIDX,DJIA,20-JAN-2017,19917.50
13-JAN-2017,FUTIDX,DJIA,17-FEB-2017,20020.00
13-JAN-2017,FUTIDX,DJIA,17-MAR-2017,20122.50
13-JAN-2017,FUTIDX,DJIA,16-JUN-2017,20457.50
13-JAN-2017,FUTIDX,DJIA,15-SEP-2017,20800.00
13-JAN-2017,FUTIDX,DJIA,15-DEC-2017,21147.50
13-JAN-2017,FUTIDX,FTSE100,20-JAN-2017,7302.00
13-JAN-2017,FUTIDX,FTSE100,17-FEB-2017,7339.00
13-JAN-2017,FUTIDX,FTSE100,17-MAR-2017,7377.00
13-JAN-2017,FUTIDX,FTSE100,16-JUN-2017,7500.00
13-JAN-2017,FUTIDX,FTSE100,15-SEP-2017,7626.00
13-JAN-2017,FUTIDX,FTSE100,15-DEC-2017,7753.00
13-JAN-2017,FUTIDX,NIFTY,25-JAN-2017,8417.70
13-JAN-2017,FUTIDX,NIFTY,23-FEB-2017,8443.05
13-JAN-2017,FUTIDX,NIFTY,30-MAR-2017,8463.35
13-JAN-2017,FUTIDX,NIFTYCPSE,25-JAN-2017,2502.40
13-JAN-2017,FUTIDX,NIFTYCPSE,23-FEB-2017,2515.85
13-JAN-2017,FUTIDX,NIFTYCPSE,30-MAR-2017,2531.95
13-JAN-2017,FUTIDX,NIFTYINFRA,25-JAN-2017,2876.05
13-JAN-2017,FUTIDX,NIFTYINFRA,23-FEB-2017,2891.50
13-JAN-2017,FUTIDX,NIFTYINFRA,30-MAR-2017,2910.00
13-JAN-2017,FUTIDX,NIFTYIT,25-JAN-2017,10275.00
13-JAN-2017,FUTIDX,NIFTYIT,23-FEB-2017,10365.00
13-JAN-2017,FUTIDX,NIFTYIT,30-MAR-2017,10407.00
13-JAN-2017,FUTIDX,NIFTYMID50,25-JAN-2017,3845.85
13-JAN-2017,FUTIDX,NIFTYMID50,23-FEB-2017,3866.50
13-JAN-2017,FUTIDX,NIFTYMID50,30-MAR-2017,3891.25
13-JAN-2017,FUTIDX,NIFTYPSE,25-JAN-2017,3948.75
13-JAN-2017,FUTIDX,NIFTYPSE,23-FEB-2017,3969.95
13-JAN-2017,FUTIDX,NIFTYPSE,30-MAR-2017,3995.35
13-JAN-2017,FUTIDX,S&P500,20-JAN-2017,2270.00
13-JAN-2017,FUTIDX,S&P500,17-FEB-2017,2263.00
13-JAN-2017,FUTIDX,S&P500,17-MAR-2017,2296.75
13-JAN-2017,FUTIDX,S&P500,16-JUN-2017,2335.25
13-JAN-2017,FUTIDX,S&P500,15-SEP-2017,2374.25
13-JAN-2017,FUTIDX,S&P500,15-DEC-2017,2414.00
13-JAN-2017,FUTIVX,INDIAVIX,17-JAN-2017,1458.50
13-JAN-2017,FUTIVX,INDIAVIX,24-JAN-2017,1459.75
13-JAN-2017,FUTIVX,INDIAVIX,31-JAN-2017,1462.50
13-JAN-2017,FUTSTK,ABIRLANUVO,25-JAN-2017,1259.75
13-JAN-2017,FUTSTK,ABIRLANUVO,23-FEB-2017,1264.55
13-JAN-2017,FUTSTK,ABIRLANUVO,30-MAR-2017,1274.40
13-JAN-2017,FUTSTK,ACC,25-JAN-2017,1333.30
13-JAN-2017,FUTSTK,ACC,23-FEB-2017,1336.95
13-JAN-2017,FUTSTK,ACC,30-MAR-2017,1348.05
13-JAN-2017,FUTSTK,ADANIENT,25-JAN-2017,78.65
13-JAN-2017,FUTSTK,ADANIENT,23-FEB-2017,79.10
13-JAN-2017,FUTSTK,ADANIENT,30-MAR-2017,79.60
13-JAN-2017,FUTSTK,ADANIPORTS,25-JAN-2017,294.85
13-JAN-2017,FUTSTK,ADANIPORTS,23-FEB-2017,295.95
13-JAN-2017,FUTSTK,ADANIPORTS,30-MAR-2017,298.15
13-JAN-2017,FUTSTK,ADANIPOWER,25-JAN-2017,36.25
13-JAN-2017,FUTSTK,ADANIPOWER,23-FEB-2017,36.35
13-JAN-2017,FUTSTK,ADANIPOWER,30-MAR-2017,36.65
13-JAN-2017,FUTSTK,AJANTPHARM,25-JAN-2017,1801.90
13-JAN-2017,FUTSTK,AJANTPHARM,23-FEB-2017,1810.60
13-JAN-2017,FUTSTK,AJANTPHARM,30-MAR-2017,1822.20
13-JAN-2017,FUTSTK,ALBK,25-JAN-2017,65.45
13-JAN-2017,FUTSTK,ALBK,23-FEB-2017,65.25
13-JAN-2017,FUTSTK,ALBK,30-MAR-2017,66.60
13-JAN-2017,FUTSTK,AMARAJABAT,25-JAN-2017,901.85
13-JAN-2017,FUTSTK,AMARAJABAT,23-FEB-2017,906.95
13-JAN-2017,FUTSTK,AMARAJABAT,30-MAR-2017,912.75
13-JAN-2017,FUTSTK,AMBUJACEM,25-JAN-2017,213.80
13-JAN-2017,FUTSTK,AMBUJACEM,23-FEB-2017,214.20
13-JAN-2017,FUTSTK,AMBUJACEM,30-MAR-2017,216.25
13-JAN-2017,FUTSTK,ANDHRABANK,25-JAN-2017,49.50
13-JAN-2017,FUTSTK,ANDHRABANK,23-FEB-2017,49.70
13-JAN-2017,FUTSTK,ANDHRABANK,30-MAR-2017,50.00
13-JAN-2017,FUTSTK,APOLLOHOSP,25-JAN-2017,1192.60
13-JAN-2017,FUTSTK,APOLLOHOSP,23-FEB-2017,1196.30
13-JAN-2017,FUTSTK,APOLLOHOSP,30-MAR-2017,1204.00
13-JAN-2017,FUTSTK,APOLLOTYRE,25-JAN-2017,188.50
13-JAN-2017,FUTSTK,APOLLOTYRE,23-FEB-2017,188.90
13-JAN-2017,FUTSTK,APOLLOTYRE,30-MAR-2017,190.40
13-JAN-2017,FUTSTK,ARVIND,25-JAN-2017,370.35
13-JAN-2017,FUTSTK,ARVIND,23-FEB-2017,371.75
13-JAN-2017,FUTSTK,ARVIND,30-MAR-2017,374.65
13-JAN-2017,FUTSTK,ASHOKLEY,25-JAN-2017,84.90
13-JAN-2017,FUTSTK,ASHOKLEY,23-FEB-2017,85.20
13-JAN-2017,FUTSTK,ASHOKLEY,30-MAR-2017,85.75
13-JAN-2017,FUTSTK,ASIANPAINT,25-JAN-2017,935.60
13-JAN-2017,FUTSTK,ASIANPAINT,23-FEB-2017,940.95
13-JAN-2017,FUTSTK,ASIANPAINT,30-MAR-2017,946.30
13-JAN-2017,FUTSTK,AUROPHARMA,25-JAN-2017,704.55
13-JAN-2017,FUTSTK,AUROPHARMA,23-FEB-2017,707.35
13-JAN-2017,FUTSTK,AUROPHARMA,30-MAR-2017,714.30
13-JAN-2017,FUTSTK,AXISBANK,25-JAN-2017,472.80
13-JAN-2017,FUTSTK,AXISBANK,23-FEB-2017,474.65
13-JAN-2017,FUTSTK,AXISBANK,30-MAR-2017,479.40
13-JAN-2017,FUTSTK,BAJAJ-AUTO,25-JAN-2017,2717.90
13-JAN-2017,FUTSTK,BAJAJ-AUTO,23-FEB-2017,2730.85
13-JAN-2017,FUTSTK,BAJAJ-AUTO,30-MAR-2017,2746.35
13-JAN-2017,FUTSTK,BAJFINANCE,25-JAN-2017,902.50
13-JAN-2017,FUTSTK,BAJFINANCE,23-FEB-2017,904.10
13-JAN-2017,FUTSTK,BAJFINANCE,30-MAR-2017,912.60
13-JAN-2017,FUTSTK,BANKBARODA,25-JAN-2017,158.25
13-JAN-2017,FUTSTK,BANKBARODA,23-FEB-2017,158.40
13-JAN-2017,FUTSTK,BANKBARODA,30-MAR-2017,159.95
13-JAN-2017,FUTSTK,BANKINDIA,25-JAN-2017,114.15
13-JAN-2017,FUTSTK,BANKINDIA,23-FEB-2017,113.65
13-JAN-2017,FUTSTK,BANKINDIA,30-MAR-2017,113.40
13-JAN-2017,FUTSTK,BATAINDIA,25-JAN-2017,476.75
13-JAN-2017,FUTSTK,BATAINDIA,23-FEB-2017,472.40
13-JAN-2017,FUTSTK,BATAINDIA,30-MAR-2017,482.85
13-JAN-2017,FUTSTK,BEL,25-JAN-2017,1530.80
13-JAN-2017,FUTSTK,BEL,23-FEB-2017,1522.55
13-JAN-2017,FUTSTK,BEL,30-MAR-2017,1550.00
13-JAN-2017,FUTSTK,BEML,25-JAN-2017,1209.85
13-JAN-2017,FUTSTK,BEML,23-FEB-2017,1206.75
13-JAN-2017,FUTSTK,BEML,30-MAR-2017,1222.60
13-JAN-2017,FUTSTK,BHARATFIN,25-JAN-2017,655.95
13-JAN-2017,FUTSTK,BHARATFIN,23-FEB-2017,658.40
13-JAN-2017,FUTSTK,BHARATFIN,30-MAR-2017,663.05
13-JAN-2017,FUTSTK,BHARATFORG,25-JAN-2017,946.40
13-JAN-2017,FUTSTK,BHARATFORG,23-FEB-2017,950.70
13-JAN-2017,FUTSTK,BHARATFORG,30-MAR-2017,956.80
13-JAN-2017,FUTSTK,BHARTIARTL,25-JAN-2017,319.00
13-JAN-2017,FUTSTK,BHARTIARTL,23-FEB-2017,318.20
13-JAN-2017,FUTSTK,BHARTIARTL,30-MAR-2017,324.70
13-JAN-2017,FUTSTK,BHEL,25-JAN-2017,129.35
13-JAN-2017,FUTSTK,BHEL,23-FEB-2017,129.45
13-JAN-2017,FUTSTK,BHEL,30-MAR-2017,130.55
13-JAN-2017,FUTSTK,BIOCON,25-JAN-2017,997.55
13-JAN-2017,FUTSTK,BIOCON,23-FEB-2017,1001.20
13-JAN-2017,FUTSTK,BIOCON,30-MAR-2017,1008.35
13-JAN-2017,FUTSTK,BOSCHLTD,25-JAN-2017,21302.20
13-JAN-2017,FUTSTK,BOSCHLTD,23-FEB-2017,21437.45
13-JAN-2017,FUTSTK,BOSCHLTD,30-MAR-2017,21566.60
13-JAN-2017,FUTSTK,BPCL,25-JAN-2017,656.55
13-JAN-2017,FUTSTK,BPCL,23-FEB-2017,648.15
13-JAN-2017,FUTSTK,BPCL,30-MAR-2017,648.85
13-JAN-2017,FUTSTK,BRITANNIA,25-JAN-2017,2951.45
13-JAN-2017,FUTSTK,BRITANNIA,23-FEB-2017,2962.05
13-JAN-2017,FUTSTK,BRITANNIA,30-MAR-2017,2981.00
13-JAN-2017,FUTSTK,CADILAHC,25-JAN-2017,351.10
13-JAN-2017,FUTSTK,CADILAHC,23-FEB-2017,352.30
13-JAN-2017,FUTSTK,CADILAHC,30-MAR-2017,354.75
13-JAN-2017,FUTSTK,CAIRN,25-JAN-2017,264.95
13-JAN-2017,FUTSTK,CAIRN,23-FEB-2017,264.90
13-JAN-2017,FUTSTK,CAIRN,30-MAR-2017,267.80
13-JAN-2017,FUTSTK,CANBK,25-JAN-2017,273.95
13-JAN-2017,FUTSTK,CANBK,23-FEB-2017,271.50
13-JAN-2017,FUTSTK,CANBK,30-MAR-2017,279.95
13-JAN-2017,FUTSTK,CASTROLIND,25-JAN-2017,396.00
13-JAN-2017,FUTSTK,CASTROLIND,23-FEB-2017,397.75
13-JAN-2017,FUTSTK,CASTROLIND,30-MAR-2017,401.20
13-JAN-2017,FUTSTK,CEATLTD,25-JAN-2017,1195.00
13-JAN-2017,FUTSTK,CEATLTD,23-FEB-2017,1190.95
13-JAN-2017,FUTSTK,CEATLTD,30-MAR-2017,1217.65
13-JAN-2017,FUTSTK,CENTURYTEX,25-JAN-2017,803.80
13-JAN-2017,FUTSTK,CENTURYTEX,23-FEB-2017,809.75
13-JAN-2017,FUTSTK,CENTURYTEX,30-MAR-2017,815.20
13-JAN-2017,FUTSTK,CESC,25-JAN-2017,676.70
13-JAN-2017,FUTSTK,CESC,23-FEB-2017,679.50
13-JAN-2017,FUTSTK,CESC,30-MAR-2017,683.80
13-JAN-2017,FUTSTK,CIPLA,25-JAN-2017,585.05
13-JAN-2017,FUTSTK,CIPLA,23-FEB-2017,587.55
13-JAN-2017,FUTSTK,CIPLA,30-MAR-2017,591.55
13-JAN-2017,FUTSTK,COALINDIA,25-JAN-2017,311.65
13-JAN-2017,FUTSTK,COALINDIA,23-FEB-2017,300.55
13-JAN-2017,FUTSTK,COALINDIA,30-MAR-2017,296.25
13-JAN-2017,FUTSTK,COLPAL,25-JAN-2017,901.55
13-JAN-2017,FUTSTK,COLPAL,23-FEB-2017,904.00
13-JAN-2017,FUTSTK,COLPAL,30-MAR-2017,911.90
13-JAN-2017,FUTSTK,CONCOR,25-JAN-2017,1206.20
13-JAN-2017,FUTSTK,CONCOR,23-FEB-2017,1193.00
13-JAN-2017,FUTSTK,CONCOR,30-MAR-2017,1179.50
13-JAN-2017,FUTSTK,CROMPGREAV,25-JAN-2017,64.55
13-JAN-2017,FUTSTK,CROMPGREAV,23-FEB-2017,64.55
13-JAN-2017,FUTSTK,CROMPGREAV,30-MAR-2017,65.25
13-JAN-2017,FUTSTK,CUMMINSIND,25-JAN-2017,849.05
13-JAN-2017,FUTSTK,CUMMINSIND,23-FEB-2017,858.90
13-JAN-2017,FUTSTK,CUMMINSIND,30-MAR-2017,864.40
13-JAN-2017,FUTSTK,DABUR,25-JAN-2017,281.75
13-JAN-2017,FUTSTK,DABUR,23-FEB-2017,283.80
13-JAN-2017,FUTSTK,DABUR,30-MAR-2017,285.60
13-JAN-2017,FUTSTK,DCBBANK,25-JAN-2017,124.40
13-JAN-2017,FUTSTK,DCBBANK,23-FEB-2017,124.85
13-JAN-2017,FUTSTK,DCBBANK,30-MAR-2017,125.65
13-JAN-2017,FUTSTK,DHFL,25-JAN-2017,271.70
13-JAN-2017,FUTSTK,DHFL,23-FEB-2017,272.80
13-JAN-2017,FUTSTK,DHFL,30-MAR-2017,274.45
13-JAN-2017,FUTSTK,DISHTV,25-JAN-2017,88.00
13-JAN-2017,FUTSTK,DISHTV,23-FEB-2017,88.20
13-JAN-2017,FUTSTK,DISHTV,30-MAR-2017,89.05
