Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
05-Jan-17,ABIRLANUVO,1291.95,1292.4, -0.0003,  0.0183,  0.0178,  0.3391,1294.85,1293.45,  0.0011,  0.0190,  0.0184,  0.3512,  0.0184,  0.3512
05-Jan-17,ACC,1332.85,1319.4,  0.0101,  0.0134,  0.0132,  0.2530,1337.35,1324.9,  0.0094,  0.0138,  0.0136,  0.2598,  0.0136,  0.2598
05-Jan-17,ADANIENT,79.15,77.8,  0.0172,  0.0203,  0.0202,  0.3854,79.55,78.05,  0.0190,  0.0211,  0.0210,  0.4010,  0.0210,  0.4010
05-Jan-17,ADANIPORTS,287.5,274.9,  0.0448,  0.0190,  0.0214,  0.4096,287.45,275.2,  0.0436,  0.0190,  0.0213,  0.4065,  0.0214,  0.4096
05-Jan-17,ADANIPOWER,32.6,31.65,  0.0296,  0.0277,  0.0279,  0.5322,32.75,31.75,  0.0310,  0.0275,  0.0277,  0.5298,  0.0279,  0.5322
05-Jan-17,AJANTPHARM,1789.25,1779.75,  0.0053,  0.0196,  0.0191,  0.3643,1795.7,1775.3,  0.0114,  0.0194,  0.0190,  0.3632,  0.0191,  0.3643
05-Jan-17,ALBK,63.05,62.1,  0.0152,  0.0209,  0.0206,  0.3942,62.95,61.5,  0.0233,  0.0212,  0.0214,  0.4084,  0.0214,  0.4084
05-Jan-17,AMARAJABAT,920.5,900.3,  0.0222,  0.0174,  0.0177,  0.3387,918.25,899.5,  0.0206,  0.0169,  0.0171,  0.3273,  0.0177,  0.3387
05-Jan-17,AMBUJACEM,214.35,212.15,  0.0103,  0.0185,  0.0181,  0.3452,214.95,212.3,  0.0124,  0.0173,  0.0170,  0.3250,  0.0181,  0.3452
05-Jan-17,ANDHRABANK,48.25,47.7,  0.0115,  0.0158,  0.0155,  0.2970,48.4,47.85,  0.0114,  0.0167,  0.0165,  0.3146,  0.0165,  0.3146
05-Jan-17,APOLLOHOSP,1207.25,1220.95, -0.0113,  0.0152,  0.0150,  0.2861,1212.05,1223.05, -0.0090,  0.0151,  0.0148,  0.2821,  0.0150,  0.2861
05-Jan-17,APOLLOTYRE,187.7,185.3,  0.0129,  0.0172,  0.0170,  0.3248,188.6,185.95,  0.0142,  0.0177,  0.0175,  0.3344,  0.0175,  0.3344
05-Jan-17,ARVIND,365.7,358.75,  0.0192,  0.0236,  0.0234,  0.4469,365.8,359.45,  0.0175,  0.0240,  0.0237,  0.4528,  0.0237,  0.4528
05-Jan-17,ASHOKLEY,83.95,83.85,  0.0012,  0.0185,  0.0179,  0.3420,84.35,84.3,  0.0006,  0.0188,  0.0182,  0.3486,  0.0182,  0.3486
05-Jan-17,ASIANPAINT,916.5,906.6,  0.0109,  0.0166,  0.0163,  0.3115,918.55,908.2,  0.0113,  0.0160,  0.0157,  0.3009,  0.0163,  0.3115
05-Jan-17,AUROPHARMA,686.25,666.95,  0.0285,  0.0199,  0.0205,  0.3919,686.3,667.8,  0.0273,  0.0201,  0.0206,  0.3943,  0.0206,  0.3943
05-Jan-17,AXISBANK,458.05,453.1,  0.0109,  0.0157,  0.0155,  0.2958,458.75,454.5,  0.0093,  0.0157,  0.0154,  0.2942,  0.0155,  0.2958
05-Jan-17,BAJAJ-AUTO,2723.35,2684.1,  0.0145,  0.0139,  0.0139,  0.2657,2726.65,2686.45,  0.0149,  0.0136,  0.0137,  0.2611,  0.0139,  0.2657
05-Jan-17,BAJFINANCE,899.75,871.9,  0.0314,  0.0269,  0.0272,  0.5203,895.5,869.5,  0.0295,  0.0264,  0.0266,  0.5074,  0.0272,  0.5203
05-Jan-17,BANKBARODA,150.95,148,  0.0197,  0.0211,  0.0210,  0.4011,151.3,148.55,  0.0183,  0.0206,  0.0204,  0.3907,  0.0210,  0.4011
05-Jan-17,BANKINDIA,109.55,107.7,  0.0170,  0.0176,  0.0175,  0.3348,109.35,107.1,  0.0208,  0.0183,  0.0185,  0.3534,  0.0185,  0.3534
05-Jan-17,BANKNIFTY,18115.95,17891,  0.0125,  0.0100,  0.0102,  0.1943,18137.5,17941.85,  0.0108,  0.0098,  0.0099,  0.1893,  0.0102,  0.1943
05-Jan-17,BATAINDIA,470.4,463.35,  0.0151,  0.0160,  0.0159,  0.3042,468,461.25,  0.0145,  0.0164,  0.0163,  0.3117,  0.0163,  0.3117
05-Jan-17,BEL,1431.75,1432.2, -0.0003,  0.0176,  0.0170,  0.3256,1434.5,1433.55,  0.0007,  0.0178,  0.0172,  0.3294,  0.0172,  0.3294
05-Jan-17,BEML,1001.6,1005.8, -0.0042,  0.0202,  0.0196,  0.3738,1003.5,1010.45, -0.0069,  0.0205,  0.0199,  0.3810,  0.0199,  0.3810
05-Jan-17,BHARATFIN,637.55,629.5,  0.0127,  0.0446,  0.0434,  0.8287,640.05,630.35,  0.0153,  0.0448,  0.0436,  0.8323,  0.0436,  0.8323
05-Jan-17,BHARATFORG,922.35,913.75,  0.0094,  0.0189,  0.0185,  0.3534,925.5,917.15,  0.0091,  0.0192,  0.0188,  0.3590,  0.0188,  0.3590
05-Jan-17,BHARTIARTL,321.1,313.9,  0.0227,  0.0175,  0.0179,  0.3419,320.7,314,  0.0211,  0.0176,  0.0179,  0.3414,  0.0179,  0.3419
05-Jan-17,BHEL,127.95,127.1,  0.0067,  0.0150,  0.0147,  0.2802,128.25,126.95,  0.0102,  0.0154,  0.0151,  0.2888,  0.0151,  0.2888
05-Jan-17,BIOCON,946.2,933.9,  0.0131,  0.0178,  0.0176,  0.3353,950.1,936,  0.0150,  0.0174,  0.0173,  0.3297,  0.0176,  0.3353
