INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,DJIA      ,20/01/2017,00019850.00,00019857.50,00019830.00,00019840.00,000000000035850,       54766650.00,             2760,              092,              038
FUTIDX    ,NIFTY     ,25/01/2017,00008202.25,00008223.40,00008187.30,00008204.05,000000017529225,    55785147138.75,          6797850,            90638,            55044
FUTIDX    ,NIFTY     ,23/02/2017,00008242.30,00008247.25,00008209.40,00008229.70,000000001054200,     2196855322.50,           266850,             3558,             2834
FUTIDX    ,NIFTY     ,30/03/2017,00008261.10,00008273.45,00008241.75,00008257.80,000000000228150,      240962576.25,            29175,              389,              305
FUTIDX    ,NIFTYCPSE ,25/01/2017,00002385.00,00002404.05,00002380.05,00002386.35,000000000007750,       16125850.00,             6750,              027,              016
FUTIDX    ,NIFTYIT   ,25/01/2017,00010435.00,00010509.00,00010370.00,00010496.00,000000000031450,      122331700.00,            11700,              234,              201
FUTIDX    ,S&P500    ,20/01/2017,00002258.50,00002258.50,00002254.50,00002255.75,000000000377500,       81194500.00,            36000,              144,              051
FUTSTK    ,SAIL      ,25/01/2017,00000051.00,00000051.05,00000050.05,00000050.30,000000050484000,      828811200.00,         16416000,             1368,             1255
FUTSTK    ,SAIL      ,23/02/2017,00000050.45,00000050.60,00000049.70,00000049.95,000000004620000,       53445000.00,          1068000,              089,              071
FUTSTK    ,SAIL      ,30/03/2017,00000049.95,00000049.95,00000049.45,00000049.65,000000000252000,        2982000.00,            60000,              005,              005
FUTSTK    ,SBIN      ,25/01/2017,00000246.00,00000246.75,00000243.05,00000243.55,000000077049000,     7895658750.00,         32280000,            10760,             9941
FUTSTK    ,SBIN      ,23/02/2017,00000245.75,00000247.00,00000243.60,00000243.95,000000001932000,      154267200.00,           630000,              210,              206
FUTSTK    ,SBIN      ,30/03/2017,00000246.10,00000246.80,00000244.30,00000244.50,000000000087000,       22074000.00,            90000,              030,              030
FUTSTK    ,SIEMENS   ,25/01/2017,00001113.05,00001128.00,00001113.05,00001124.50,000000000738500,      426634000.00,           380000,              760,              714
FUTSTK    ,SINTEX    ,25/01/2017,00000081.60,00000082.50,00000080.75,00000081.15,000000024745125,      958043531.25,         11742000,             1648,             1592
FUTSTK    ,SINTEX    ,23/02/2017,00000081.75,00000082.75,00000081.55,00000081.80,000000000306375,       11076525.00,           135375,              019,              017
FUTSTK    ,SOUTHBANK ,25/01/2017,00000020.00,00000020.15,00000019.95,00000020.05,000000041490000,       66183000.00,          3300000,              110,              108
FUTSTK    ,SOUTHBANK ,23/02/2017,00000020.20,00000020.20,00000020.20,00000020.20,000000000270000,         606000.00,            30000,              001,              001
FUTSTK    ,SRF       ,25/01/2017,00001568.05,00001574.95,00001542.55,00001549.60,000000000403000,      518968550.00,           332500,              665,              637
FUTSTK    ,SRTRANSFIN,25/01/2017,00000893.80,00000915.80,00000893.80,00000913.00,000000003404400,      936838560.00,          1030200,             1717,             1576
FUTSTK    ,SRTRANSFIN,23/02/2017,00000916.00,00000916.00,00000910.00,00000910.00,000000000004800,        1095600.00,             1200,              002,              002
FUTSTK    ,STAR      ,25/01/2017,00001050.60,00001085.05,00001050.60,00001076.50,000000001548000,      950669600.00,           886500,             1773,             1680
FUTSTK    ,STAR      ,23/02/2017,00001080.00,00001080.00,00001080.00,00001080.00,000000000002000,         540000.00,              500,              001,              001
FUTSTK    ,SUNPHARMA ,25/01/2017,00000639.30,00000644.15,00000636.00,00000639.00,000000030057300,     2159871140.00,          3376100,             4823,             4393
FUTSTK    ,SUNPHARMA ,23/02/2017,00000642.00,00000646.75,00000640.00,00000641.70,000000000427000,       88591335.00,           137900,              197,              115
FUTSTK    ,SUNPHARMA ,30/03/2017,00000647.10,00000647.10,00000647.10,00000647.10,000000000003500,         452970.00,              700,              001,              001
FUTSTK    ,SUNTV     ,25/01/2017,00000527.50,00000537.50,00000523.10,00000525.65,000000007860000,     7057031400.00,         13296000,             6648,             6259
FUTSTK    ,SUNTV     ,23/02/2017,00000529.00,00000537.15,00000525.00,00000525.00,000000000054000,       35039700.00,            66000,              033,              033
FUTSTK    ,SYNDIBANK ,25/01/2017,00000062.50,00000062.85,00000061.20,00000061.45,000000013752000,      276949800.00,          4482000,              498,              484
FUTSTK    ,SYNDIBANK ,23/02/2017,00000062.00,00000062.00,00000061.60,00000061.60,000000000315000,        1669950.00,            27000,              003,              003
FUTSTK    ,TATACHEM  ,25/01/2017,00000513.00,00000517.85,00000505.65,00000507.00,000000004140000,     1328277675.00,          2593500,             1729,             1630
FUTSTK    ,TATACHEM  ,23/02/2017,00000514.00,00000518.00,00000508.00,00000509.20,000000000012000,        5379750.00,            10500,              007,              007
FUTSTK    ,TATACOMM  ,25/01/2017,00000633.40,00000640.90,00000626.00,00000628.60,000000004971400,     1757955080.00,          2779000,             1985,             1848
FUTSTK    ,TATACOMM  ,23/02/2017,00000631.50,00000635.95,00000630.85,00000635.85,000000000014000,        7088550.00,            11200,              008,              008
FUTSTK    ,TATAELXSI ,25/01/2017,00001411.75,00001447.00,00001405.80,00001425.35,000000001231600,     1166219100.00,           814800,             2037,             1972
FUTSTK    ,TATAELXSI ,23/02/2017,00001440.00,00001447.00,00001440.00,00001447.00,000000000003600,        1154800.00,              800,              002,              002
FUTSTK    ,TATAGLOBAL,25/01/2017,00000125.15,00000126.30,00000124.05,00000124.80,000000026302500,      420050250.00,          3357000,              746,              653
FUTSTK    ,TATAGLOBAL,23/02/2017,00000126.05,00000126.10,00000125.20,00000125.20,000000000139500,        1698075.00,            13500,              003,              003
FUTSTK    ,TATAMOTORS,25/01/2017,00000485.70,00000494.40,00000485.50,00000487.80,000000021958500,     7145061750.00,         14572500,             9715,             8922
FUTSTK    ,TATAMOTORS,23/02/2017,00000489.65,00000495.45,00000489.00,00000489.75,000000000162000,       65678400.00,           133500,              089,              089
FUTSTK    ,TATAMTRDVR,25/01/2017,00000309.70,00000314.85,00000309.70,00000311.20,000000015561000,      808666845.00,          2587200,             1232,             1141
FUTSTK    ,TATAMTRDVR,23/02/2017,00000314.40,00000315.00,00000312.25,00000312.35,000000000042000,        9888690.00,            31500,              015,              015
FUTSTK    ,TATAPOWER ,25/01/2017,00000076.30,00000077.05,00000075.50,00000076.10,000000023157000,      457141050.00,          5994000,              666,              639
FUTSTK    ,TATAPOWER ,23/02/2017,00000077.00,00000077.40,00000076.10,00000076.55,000000000153000,        6893550.00,            90000,              010,              010
FUTSTK    ,TATASTEEL ,25/01/2017,00000400.15,00000409.40,00000400.15,00000405.80,000000021692000,     5655998800.00,         13936000,             6968,             6458
FUTSTK    ,TATASTEEL ,23/02/2017,00000407.75,00000410.50,00000403.50,00000407.40,000000000218000,       55428500.00,           136000,              068,              064
