Futures on individual securities                                                                    
S No      ,Symbol    ,Traded Value (Rs.)                 ,No of Contracts                                   
1         ,ABIRLANUVO,      624886760.00,             1226
2         ,ACC       ,      541754020.00,             1022
3         ,ADANIENT  ,      728106800.00,             1132
4         ,ADANIPORTS,     3645293375.00,             4999
5         ,ADANIPOWER,      559391000.00,              836
6         ,AJANTPHARM,      427654520.00,              593
7         ,ALBK      ,      410907500.00,              648
8         ,AMARAJABAT,      295209780.00,              543
9         ,AMBUJACEM ,      673405500.00,             1282
10        ,ANDHRABANK,      171282500.00,              352
11        ,APOLLOHOSP,      290169940.00,              609
12        ,APOLLOTYRE,     2384233050.00,             4137
13        ,ARVIND    ,     5121482600.00,             6954
14        ,ASHOKLEY  ,      842944200.00,             1417
15        ,ASIANPAINT,     2266612890.00,             4097
16        ,AUROPHARMA,     2834464605.00,             5808
17        ,AXISBANK  ,     9703088880.00,            18092
18        ,BAJAJ-AUTO,      963191438.00,             1411
19        ,BAJFINANCE,     2107322050.00,             4719
20        ,BANKBARODA,     2069912425.00,             3876
21        ,BANKINDIA ,      705793800.00,             1064
22        ,BATAINDIA ,      270063915.00,              531
23        ,BEL       ,     5327275410.00,             7869
24        ,BEML      ,     6083132280.00,             8746
25        ,BHARATFIN ,     3757029300.00,             5962
26        ,BHARATFORG,     2691734130.00,             4843
27        ,BHARTIARTL,      699683620.00,             1292
28        ,BHEL      ,     1391152750.00,             2160
29        ,BIOCON    ,     3741657990.00,             6197
30        ,BOSCHLTD  ,      369704379.00,              700
31        ,BPCL      ,     3041803080.00,             3826
32        ,BRITANNIA ,      254544800.00,              439
33        ,CADILAHC  ,      500535600.00,              874
34        ,CAIRN     ,     1516180400.00,             1675
35        ,CANBK     ,     3127337700.00,             3908
36        ,CASTROLIND,      199827880.00,              366
37        ,CEATLTD   ,     5029291610.00,             5971
38        ,CENTURYTEX,     3524381795.00,             3818
39        ,CESC      ,      843925720.00,             1167
40        ,CIPLA     ,      521879550.00,              901
41        ,COALINDIA ,     1211825025.00,             2399
42        ,COLPAL    ,      238246715.00,              382
43        ,CONCOR    ,      436904250.00,              743
44        ,CROMPGREAV,      683068800.00,              922
45        ,CUMMINSIND,      183140280.00,              371
46        ,DABUR     ,      278576875.00,              402
47        ,DCBBANK   ,       56364975.00,              110
48        ,DHFL      ,     1671743700.00,             2179
49        ,DISHTV    ,      427548100.00,              702
50        ,DIVISLAB  ,     2710965780.00,             6094
51        ,DLF       ,     3132235000.00,             4972
52        ,DRREDDY   ,      984627010.00,             1607
53        ,EICHERMOT ,     1720191503.00,             2996
54        ,ENGINERSIN,     4193212100.00,             3787
55        ,EXIDEIND  ,      703801200.00,              954
56        ,FEDERALBNK,     1276911350.00,             1675
57        ,GAIL      ,     1609241100.00,             2437
58        ,GLENMARK  ,      440701100.00,              697
59        ,GMRINFRA  ,      157360500.00,              277
60        ,GODREJCP  ,      213133900.00,              341
61        ,GODREJIND ,      281625600.00,              426
62        ,GRANULES  ,      724364750.00,             1388
63        ,GRASIM    ,     1092646688.00,             1707
64        ,HAVELLS   ,      671696000.00,              918
65        ,HCLTECH   ,     1418471880.00,             2421
66        ,HDFC      ,     2846362450.00,             4659
67        ,HDFCBANK  ,     9018025850.00,            14892
68        ,HDIL      ,      777046000.00,             1534
69        ,HEROMOTOCO,     1249431740.00,             2046
70        ,HEXAWARE  ,      429108000.00,              706
71        ,HINDALCO  ,     5398677375.00,             9425
72        ,HINDPETRO ,     4218832170.00,             4246
73        ,HINDUNILVR,      606418950.00,             1214
74        ,HINDZINC  ,     1225815680.00,             1405
75        ,IBREALEST ,     1026185500.00,             1273
76        ,IBULHSGFIN,     2799162040.00,             5104
77        ,ICICIBANK ,     6545697500.00,            10050
78        ,ICIL      ,       90752725.00,              158
79        ,IDBI      ,     1184174000.00,             2002
80        ,IDEA      ,      684887700.00,             1336
81        ,IDFC      ,      699867960.00,              956
82        ,IDFCBANK  ,      461488800.00,              930
83        ,IFCI      ,     1112991000.00,             1779
84        ,IGL       ,     2259642165.00,             2193
85        ,INDIACEM  ,     1269216025.00,             2825
86        ,INDUSINDBK,     9481644630.00,            13606
