INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,CE      ,00001804.80,00001804.80,00001750.00,00001754.70,000000000356850,             3000,              040,              025,       24809707.50,        5309707.50
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,PE      ,00000000.45,00000000.50,00000000.40,00000000.40,000000000121050,            13200,              176,              022,       85806258.75,           6258.75
OPTIDX    ,NIFTY     ,25/01/2017,00006700.00,PE      ,00000000.50,00000000.50,00000000.50,00000000.50,000000000000375,              075,              001,              001,         502537.50,             37.50
OPTIDX    ,NIFTY     ,25/01/2017,00006900.00,PE      ,00000000.80,00000000.80,00000000.75,00000000.75,000000000002325,              225,              003,              003,        1552676.25,            176.25
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,CE      ,00001307.55,00001317.70,00001250.00,00001255.10,000000001144650,            49125,              655,              294,      406634317.50,       62759317.50
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,PE      ,00000001.05,00000001.10,00000000.85,00000000.95,000000001298250,           139725,             1863,              603,      978208031.25,         133031.25
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,CE      ,00001220.45,00001223.40,00001205.20,00001205.20,000000000091875,              300,              004,              004,        2480227.50,         365227.50
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,PE      ,00000001.05,00000001.30,00000001.05,00000001.10,000000000074175,             2550,              034,              007,       17980575.00,           3075.00
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,CE      ,00001175.00,00001180.00,00001150.00,00001156.90,000000000249300,             1125,              015,              011,        9296175.00,        1308675.00
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,PE      ,00000001.15,00000001.20,00000000.95,00000001.00,000000000272625,            95175,             1269,              383,      675844661.25,         102161.25
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,CE      ,00001105.05,00001105.05,00001070.00,00001070.00,000000000108525,             1125,              015,              013,        9314253.75,        1214253.75
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,PE      ,00000001.60,00000001.60,00000001.25,00000001.30,000000000602325,           132000,             1760,              436,      950579895.00,         179895.00
OPTIDX    ,NIFTY     ,25/01/2017,00007300.00,CE      ,00001000.50,00001020.00,00000953.00,00000960.30,000000000062400,            72225,              963,              374,      599040952.50,       71798452.50
OPTIDX    ,NIFTY     ,25/01/2017,00007300.00,PE      ,00000001.80,00000001.95,00000001.45,00000001.60,000000000754275,           306825,             4091,             1708,     2240355067.50,         532567.50
OPTIDX    ,NIFTY     ,25/01/2017,00007400.00,CE      ,00000901.35,00000913.50,00000856.95,00000862.55,000000000377925,            73275,              977,              396,      608288013.75,       66053013.75
OPTIDX    ,NIFTY     ,25/01/2017,00007400.00,PE      ,00000002.35,00000002.70,00000002.05,00000002.15,000000000868875,           338625,             4515,             1836,     2506594807.50,         769807.50
OPTIDX    ,NIFTY     ,25/01/2017,00007450.00,PE      ,00000003.65,00000003.65,00000003.65,00000003.65,000000000001125,              150,              002,              002,        1118047.50,            547.50
OPTIDX    ,NIFTY     ,25/01/2017,00007500.00,CE      ,00000790.00,00000822.00,00000756.00,00000761.65,000000000735075,            55875,              745,              418,      463374000.00,       44311500.00
OPTIDX    ,NIFTY     ,25/01/2017,00007500.00,PE      ,00000003.55,00000003.75,00000003.10,00000003.25,000000002933700,          1350525,            18007,             4466,    10133524575.00,        4587075.00
OPTIDX    ,NIFTY     ,25/01/2017,00007550.00,PE      ,00000003.95,00000004.00,00000003.25,00000003.40,000000000017700,              900,              012,              012,        6798502.50,           3502.50
OPTIDX    ,NIFTY     ,25/01/2017,00007600.00,CE      ,00000702.70,00000718.65,00000663.25,00000664.30,000000000251550,            11250,              150,              110,       93319717.50,        7819717.50
OPTIDX    ,NIFTY     ,25/01/2017,00007600.00,PE      ,00000004.30,00000004.95,00000004.05,00000004.30,000000001784550,          1337100,            17828,             4681,    10167914145.00,        5954145.00
OPTIDX    ,NIFTY     ,25/01/2017,00007650.00,PE      ,00000005.50,00000006.10,00000005.00,00000005.20,000000000029025,            21750,              290,              168,      166506603.75,         119103.75
OPTIDX    ,NIFTY     ,25/01/2017,00007700.00,CE      ,00000600.00,00000620.00,00000560.75,00000563.80,000000000404625,             8250,              110,              081,       68429343.75,        4904343.75
OPTIDX    ,NIFTY     ,25/01/2017,00007700.00,PE      ,00000006.20,00000007.25,00000005.80,00000006.30,000000002598075,          2183550,            29114,            13915,    16827411648.75,       14076648.75
OPTIDX    ,NIFTY     ,25/01/2017,00007750.00,PE      ,00000008.20,00000009.05,00000007.35,00000008.25,000000000043950,           119175,             1589,              652,      924590767.50,         984517.50
OPTIDX    ,NIFTY     ,25/01/2017,00007800.00,CE      ,00000519.00,00000531.25,00000460.00,00000472.55,000000000546525,            78825,             1051,              656,      653990580.00,       39155580.00
OPTIDX    ,NIFTY     ,25/01/2017,00007800.00,PE      ,00000011.65,00000011.80,00000008.80,00000010.60,000000003143775,          3466575,            46221,            13855,    27075260613.75,       35975613.75
OPTIDX    ,NIFTY     ,25/01/2017,00007850.00,PE      ,00000012.70,00000014.40,00000010.75,00000013.45,000000000075750,            85425,             1139,              557,      671677695.00,        1091445.00
OPTIDX    ,NIFTY     ,25/01/2017,00007900.00,CE      ,00000414.40,00000436.00,00000371.00,00000377.20,000000000748800,           129150,             1722,             1064,     1072473956.25,       52188956.25
OPTIDX    ,NIFTY     ,25/01/2017,00007900.00,PE      ,00000018.55,00000018.60,00000013.60,00000017.15,000000003505350,          5387100,            71828,            22005,    42646500735.00,       88410735.00
OPTIDX    ,NIFTY     ,25/01/2017,00007950.00,CE      ,00000367.30,00000384.35,00000324.75,00000331.75,000000000120600,             5700,              076,              043,       47358611.25,        2043611.25
OPTIDX    ,NIFTY     ,25/01/2017,00007950.00,PE      ,00000020.15,00000023.25,00000016.90,00000021.75,000000000160200,           174750,             2330,             1187,     1392830340.00,        3567840.00
OPTIDX    ,NIFTY     ,25/01/2017,00008000.00,CE      ,00000326.55,00000345.00,00000283.95,00000290.10,000000002102475,           479025,             6387,             3226,     3981842325.00,      149642325.00
OPTIDX    ,NIFTY     ,25/01/2017,00008000.00,PE      ,00000025.25,00000029.95,00000021.25,00000028.10,000000006271200,          7725150,           103002,            32374,    62003090508.75,      201890508.75
OPTIDX    ,NIFTY     ,25/01/2017,00008050.00,CE      ,00000279.00,00000296.00,00000243.65,00000249.85,000000000068775,            14325,              191,              156,      119170578.75,        3854328.75
OPTIDX    ,NIFTY     ,25/01/2017,00008050.00,PE      ,00000032.20,00000037.05,00000026.30,00000034.55,000000000240825,           216450,             2886,             1429,     1749449715.00,        7027215.00
OPTIDX    ,NIFTY     ,25/01/2017,00008100.00,CE      ,00000243.00,00000258.00,00000200.25,00000207.25,000000002226525,           806775,            10757,             5677,     6718826032.50,      183948532.50
OPTIDX    ,NIFTY     ,25/01/2017,00008100.00,PE      ,00000043.90,00000047.30,00000033.25,00000044.40,000000004279575,          7743225,           103243,            41514,    63037599071.25,      317476571.25
OPTIDX    ,NIFTY     ,25/01/2017,00008150.00,CE      ,00000189.20,00000215.35,00000164.75,00000170.50,000000000135375,            38175,              509,              349,      318330397.50,        7204147.50
OPTIDX    ,NIFTY     ,25/01/2017,00008150.00,PE      ,00000047.95,00000059.35,00000041.90,00000056.40,000000000285000,           406650,             5422,             2558,     3335054407.50,       20856907.50
OPTIDX    ,NIFTY     ,25/01/2017,00008200.00,CE      ,00000156.00,00000177.50,00000129.05,00000134.55,000000003931650,          5812200,            77496,            33775,    48547288815.00,      887248815.00
OPTIDX    ,NIFTY     ,25/01/2017,00008200.00,PE      ,00000062.90,00000074.50,00000052.10,00000070.15,000000004594125,         12398250,           165310,            70623,   102463574872.50,      797924872.50
OPTIDX    ,NIFTY     ,25/01/2017,00008250.00,CE      ,00000135.00,00000142.15,00000099.25,00000104.05,000000000243225,           425175,             5669,             3257,     3558301616.25,       50607866.25
OPTIDX    ,NIFTY     ,25/01/2017,00008250.00,PE      ,00000084.95,00000092.85,00000066.40,00000088.55,000000000233400,           695100,             9268,             5084,     5791579312.50,       57004312.50
