Options on individual securities                                                                    
S No      ,Symbol    ,No of Cont       ,Notional Value (Rs.)     
1         ,ABIRLANUVO,              539,      288266540.00
2         ,ACC       ,              181,       97969120.00
3         ,ADANIENT  ,              220,      144548400.00
4         ,ADANIPORTS,             2372,     1739290500.00
5         ,ADANIPOWER,              758,      498892000.00
6         ,AJANTPHARM,              002,        1438240.00
7         ,ALBK      ,              068,       43763000.00
8         ,AMARAJABAT,              098,       55252770.00
9         ,AMBUJACEM ,              488,      264303875.00
10        ,ANDHRABANK,              085,       42727500.00
11        ,APOLLOHOSP,              007,        3457400.00
12        ,APOLLOTYRE,              954,      560596200.00
13        ,ARVIND    ,             1999,     1495208400.00
14        ,ASHOKLEY  ,             2105,     1274969150.00
15        ,ASIANPAINT,             2700,     1497339060.00
16        ,AUROPHARMA,             4471,     2182534165.00
17        ,AXISBANK  ,             7032,     3978478680.00
18        ,BAJAJ-AUTO,              771,      526015188.00
19        ,BAJFINANCE,             2147,      968090775.00
20        ,BANKBARODA,             1907,     1038371775.00
21        ,BANKINDIA ,              405,      277564200.00
22        ,BATAINDIA ,              054,       28000335.00
23        ,BEL       ,              186,      123691028.00
24        ,BEML      ,              057,       36074220.00
25        ,BHARATFIN ,             4961,     3252217550.00
26        ,BHARATFORG,              675,      388308180.00
27        ,BHARTIARTL,             3483,     1891349620.00
28        ,BHEL      ,             1647,     1075873750.00
29        ,BIOCON    ,              933,      545486370.00
30        ,BOSCHLTD  ,              006,        3249723.00
31        ,BPCL      ,             2154,     1732919760.00
32        ,BRITANNIA ,              016,        9579520.00
33        ,CADILAHC  ,              014,        8439760.00
34        ,CAIRN     ,              454,      409179225.00
35        ,CANBK     ,             1593,     1321166550.00
36        ,CASTROLIND,              238,      134700930.00
37        ,CEATLTD   ,              444,      385471590.00
38        ,CENTURYTEX,             1382,     1327510910.00
39        ,CESC      ,              015,       11206030.00
40        ,CIPLA     ,              891,      527062800.00
41        ,COALINDIA ,             1152,      605119165.00
42        ,COLPAL    ,              007,        4547305.00
43        ,CONCOR    ,              011,        6625875.00
44        ,CROMPGREAV,              285,      224277000.00
45        ,CUMMINSIND,              017,        8758650.00
46        ,DABUR     ,              187,      130542750.00
47        ,DCBBANK   ,              010,        5406975.00
48        ,DHFL      ,              740,      565041900.00
49        ,DISHTV    ,              371,      232065400.00
50        ,DIVISLAB  ,             2589,     1260942090.00
51        ,DLF       ,             6675,     4242354750.00
52        ,DRREDDY   ,              425,      269658840.00
53        ,EICHERMOT ,              300,      173076145.00
54        ,ENGINERSIN,              311,      353195850.00
55        ,EXIDEIND  ,              141,      107804400.00
56        ,FEDERALBNK,              454,      352991650.00
57        ,GAIL      ,              326,      222037725.00
58        ,GLENMARK  ,              075,       49458675.00
59        ,GMRINFRA  ,              267,      169299000.00
60        ,GODREJIND ,              006,        3855075.00
61        ,GRANULES  ,              016,        9270750.00
62        ,GRASIM    ,              309,      208830675.00
63        ,HAVELLS   ,              619,      453622700.00
64        ,HCLTECH   ,             2984,     1835436785.00
65        ,HDFC      ,             2630,     1648669600.00
66        ,HDFCBANK  ,             2830,     1724451500.00
67        ,HDIL      ,             1632,      875908400.00
68        ,HEROMOTOCO,             2647,     1654529090.00
69        ,HEXAWARE  ,              301,      197469900.00
70        ,HINDALCO  ,             4985,     2914809100.00
71        ,HINDPETRO ,             1369,     1352983485.00
72        ,HINDUNILVR,              826,      418405500.00
73        ,HINDZINC  ,              489,      423678560.00
74        ,IBREALEST ,             1587,     1320098500.00
75        ,IBULHSGFIN,             1056,      576105600.00
76        ,ICICIBANK ,            10530,     6888418125.00
77        ,ICIL      ,              037,       23540650.00
78        ,IDBI      ,              316,      185228000.00
79        ,IDEA      ,              902,      471902550.00
80        ,IDFC      ,              871,      669295440.00
81        ,IDFCBANK  ,              180,       92330400.00
82        ,IFCI      ,             1253,      847190300.00
83        ,IGL       ,              570,      599241170.00
84        ,INDIACEM  ,             1562,      707003850.00
85        ,INDUSINDBK,             1844,     1264482090.00
86        ,INFRATEL  ,              172,       97910000.00
87        ,INFY      ,             8538,     4385553500.00
88        ,IOC       ,             1790,     1880669850.00
89        ,IRB       ,             1288,      707381750.00
90        ,ITC       ,             2114,     1254724320.00
91        ,JETAIRWAYS,             1693,      656375200.00
92        ,JINDALSTEL,             1728,     1240990200.00
93        ,JISLJALEQS,              596,      539317350.00
94        ,JPASSOCIAT,             3976,     3183205800.00
95        ,JSWENERGY ,              108,       55066800.00
96        ,JSWSTEEL  ,             3781,     2013671100.00
97        ,JUBLFOOD  ,              164,       73399375.00
98        ,JUSTDIAL  ,            14950,     7219427880.00
99        ,KOTAKBANK ,             1402,      803130840.00
100       ,KPIT      ,              012,        6922600.00
101       ,KSCL      ,              024,       15460650.00
102       ,KTKBANK   ,              229,      202561750.00
103       ,L&TFH     ,             1162,      988887150.00
104       ,LICHSGFIN ,             2450,     1463815320.00
105       ,LT        ,             3336,     2352689075.00
106       ,LUPIN     ,             1575,      977741560.00
107       ,M&M       ,             1302,      813870900.00
108       ,M&MFIN    ,              742,      538781000.00
109       ,MARICO    ,              035,       22019660.00
110       ,MARUTI    ,            15780,    13184942250.00
111       ,MCDOWELL-N,              162,       82166538.00
112       ,MCLEODRUSS,              041,       17900850.00
113       ,MINDTREE  ,              086,       57379200.00
114       ,MOTHERSUMI,              393,      331933625.00
115       ,MRF       ,              002,        1635818.00
116       ,NCC       ,              074,       54020000.00
117       ,NHPC      ,              099,       77265900.00
118       ,NIITTECH  ,              032,       21477375.00
119       ,NMDC      ,              778,      653460900.00
120       ,NTPC      ,              231,      156341200.00
121       ,OIL       ,              051,       41089595.00
122       ,ONGC      ,             1479,     1123938375.00
123       ,ORIENTBANK,              236,      161603700.00
124       ,PCJEWELLER,              311,      201220275.00
125       ,PETRONET  ,              275,      163053075.00
126       ,PFC       ,              504,      388056300.00
127       ,PIDILITIND,              044,       27341050.00
128       ,PNB       ,             4472,     3842880300.00
129       ,POWERGRID ,              589,      458809000.00
130       ,PTC       ,              583,      381125600.00
131       ,RCOM      ,              583,      257736000.00
132       ,RECLTD    ,              864,      668725500.00
133       ,RELCAPITAL,             1669,     1149606525.00
134       ,RELIANCE  ,             8602,     4722383925.00
135       ,RELINFRA  ,             2691,     1762011875.00
136       ,RPOWER    ,              196,      105421200.00
137       ,SAIL      ,             1189,      759187800.00
138       ,SBIN      ,            12356,     9418336050.00
139       ,SIEMENS   ,              079,       46570125.00
140       ,SINTEX    ,              566,      348108619.00
141       ,SOUTHBANK ,              095,       60886500.00
142       ,SRF       ,              052,       42275400.00
143       ,SRTRANSFIN,              234,      132953010.00
144       ,STAR      ,              155,       85334650.00
145       ,SUNPHARMA ,             3611,     1669393740.00
146       ,SUNTV     ,             1939,     2126072300.00
147       ,SYNDIBANK ,              079,       44239500.00
148       ,TATACHEM  ,              228,      178333125.00
149       ,TATACOMM  ,              111,      101556210.00
150       ,TATAELXSI ,              400,      238570400.00
151       ,TATAGLOBAL,              148,       86357925.00
152       ,TATAMOTORS,            12263,     9449054325.00
153       ,TATAMTRDVR,              419,      286623645.00
154       ,TATAPOWER ,              190,      133428150.00
155       ,TATASTEEL ,            14943,    12658992500.00
156       ,TCS       ,             4074,     2439586838.00
157       ,TECHM     ,             1564,      872695450.00
158       ,TITAN     ,              566,      307829550.00
159       ,TORNTPHARM,              027,       14942920.00
160       ,TORNTPOWER,              045,       25630050.00
161       ,TV18BRDCST,              166,      112499200.00
162       ,TVSMOTOR  ,             1860,     1413896700.00
163       ,UBL       ,              020,       11652515.00
164       ,ULTRACEMCO,              535,      363742390.00
165       ,UNIONBANK ,             1099,      566209800.00
166       ,UPL       ,              832,      683478480.00
167       ,VEDL      ,             9846,     7962545850.00
168       ,VOLTAS    ,              696,      479949300.00
169       ,WIPRO     ,             1085,      639087600.00
170       ,WOCKPHARMA,             1564,      644441850.00
171       ,YESBANK   ,            15726,    13384522480.00
172       ,ZEEL      ,             1306,      811707585.00
