The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,TATASTEEL ,25/01/2017,    20726114500.00,            23193
2         ,INDUSINDBK,25/01/2017,    16578246540.00,            22727
3         ,SBIN      ,25/01/2017,    13896999900.00,            18398
4         ,YESBANK   ,25/01/2017,    15694724150.00,            17204
5         ,HDFCBANK  ,25/01/2017,    10391071500.00,            16921
6         ,ICICIBANK ,25/01/2017,    10857508375.00,            16429
7         ,JSWSTEEL  ,25/01/2017,     9093125100.00,            15941
8         ,AXISBANK  ,25/01/2017,     8611213380.00,            15828
9         ,HINDALCO  ,25/01/2017,     9472173725.00,            15728
10        ,VEDL      ,25/01/2017,     9702799575.00,            11675
The top ten contracts contributed to around  30% of the total traded volume in Futures on individual securities.TATASTEEL was the most active future contracts on individual securities traded today with 23654 contracts and INDUSINDBK was the next most active futures contracts with 22995 contracts being traded.                                                                                                                                                                                              
