The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,SBIN      ,25/01/2017,00000250.00,CE      ,             3197,     2458084800.00
2         ,MARUTI    ,25/01/2017,00005500.00,CE      ,             3189,     2676952695.00
3         ,SBIN      ,25/01/2017,00000260.00,CE      ,             2907,     2295147750.00
4         ,TATASTEEL ,25/01/2017,00000400.00,CE      ,             2470,     2037759000.00
5         ,DLF       ,25/01/2017,00000120.00,CE      ,             2101,     1308912000.00
6         ,RELIANCE  ,25/01/2017,00001100.00,CE      ,             1979,     1107442700.00
7         ,TATAMOTORS,25/01/2017,00000500.00,CE      ,             1853,     1413530925.00
8         ,SBIN      ,25/01/2017,00000240.00,PE      ,             1771,     1306607700.00
9         ,TATASTEEL ,25/01/2017,00000390.00,PE      ,             1678,     1338822100.00
10        ,MARUTI    ,25/01/2017,00005400.00,CE      ,             1627,     1351124828.00
11        ,MARUTI    ,25/01/2017,00005000.00,PE      ,             1479,     1116707100.00
12        ,TATASTEEL ,25/01/2017,00000410.00,CE      ,             1477,     1239515000.00
13        ,TATAMOTORS,25/01/2017,00000480.00,CE      ,             1476,     1098053250.00
14        ,VEDL      ,25/01/2017,00000220.00,CE      ,             1433,     1148338450.00
15        ,DLF       ,25/01/2017,00000110.00,PE      ,             1432,      805551000.00
16        ,SBIN      ,25/01/2017,00000255.00,CE      ,             1431,     1114228950.00
17        ,ICICIBANK ,25/01/2017,00000260.00,CE      ,             1420,      940878250.00
18        ,TATASTEEL ,25/01/2017,00000420.00,CE      ,             1329,     1132809500.00
19        ,SBIN      ,25/01/2017,00000270.00,CE      ,             1301,     1059604050.00
20        ,MARUTI    ,25/01/2017,00005300.00,PE      ,             1297,     1051369268.00
The top twenty contracts contributed to around  18% of the total traded volume in Options on individual securities.SBIN was the most active option contracts on individual securities traded today with 18301 contracts and MARUTI was the next most active options contracts with 15915 contracts being traded.                                                                                                                                                                                                    
