CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTIRC679GS202925-JAN-2017,102.3,0,0,0,,101.93,-.36,0,0,0,0
FUTIRC679GS202923-FEB-2017,102.2775,0,0,0,,101.9025,-.36,0,0,0,0
FUTIRC679GS202930-MAR-2017,102.2325,0,0,0,,101.8525,-.37,0,0,0,0
FUTIRC679GS202929-JUN-2017,102.0975,0,0,0,,101.7125,-.37,0,0,0,0
FUTIRC679GS202928-SEP-2017,101.945,0,0,0,,101.5525,-.38,0,0,0,0
FUTIRC679GS202928-DEC-2017,101.7675,0,0,0,,101.3675,-.39,0,0,0,0
FUTIRC684GS202225-JAN-2017,102.0625,0,0,0,,101.9175,-.14,0,0,0,0
FUTIRC684GS202223-FEB-2017,102.0325,0,0,0,,101.8875,-.14,0,0,0,0
FUTIRC684GS202230-MAR-2017,101.9825,0,0,0,,101.8325,-.14,0,0,0,0
FUTIRC684GS202229-JUN-2017,101.83,0,0,0,,101.6775,-.14,0,0,0,0
FUTIRC684GS202228-SEP-2017,101.6625,0,0,0,,101.51,-.15,0,0,0,0
FUTIRC684GS202228-DEC-2017,101.4675,0,0,0,,101.31,-.15,0,0,0,0
FUTIRC697GS202625-JAN-2017,104.3025,0,0,0,,103.935,-.35,14712,0,0,0
FUTIRC697GS202623-FEB-2017,104.285,0,0,0,,103.915,-.35,9658,0,0,0
FUTIRC697GS202630-MAR-2017,104.23,0,0,0,,103.8575,-.35,6572,0,0,0
FUTIRC697GS202629-JUN-2017,104.0625,0,0,0,,103.685,-.36,2250,0,0,0
FUTIRC697GS202628-SEP-2017,103.915,0,0,0,,103.53,-.37,0,0,0,0
FUTIRC697GS202628-DEC-2017,103.7025,0,0,0,,103.31,-.37,0,0,0,0
FUTIRC759GS202625-JAN-2017,107.2075,107.2,107.2,106.74,106.8425,106.8425,-.34,111505,48184,48184,10302657830
FUTIRC759GS202623-FEB-2017,107.2125,107,107,106.8225,106.8225,106.86,-.32,218,256,256,54749195
FUTIRC759GS202630-MAR-2017,107.12,0,0,0,,106.76,-.33,0,0,0,0
FUTIRC759GS202629-JUN-2017,106.86,0,0,0,,106.4975,-.33,0,0,0,0
FUTIRC759GS202628-SEP-2017,106.585,0,0,0,,106.2125,-.34,0,0,0,0
FUTIRC759GS202628-DEC-2017,106.275,0,0,0,,105.8975,-.35,0,0,0,0
FUTIRC759GS202925-JAN-2017,106.875,0,0,0,,106.505,-.34,0,0,0,0
FUTIRC759GS202923-FEB-2017,106.82,0,0,0,,106.445,-.35,0,0,0,0
FUTIRC759GS202930-MAR-2017,106.7325,0,0,0,,106.3525,-.35,0,0,0,0
FUTIRC759GS202929-JUN-2017,106.4425,0,0,0,,106.0575,-.36,0,0,0,0
FUTIRC759GS202928-SEP-2017,106.1825,0,0,0,,105.7925,-.36,0,0,0,0
FUTIRC759GS202928-DEC-2017,105.845,0,0,0,,105.445,-.37,0,0,0,0
FUTIRC761GS203025-JAN-2017,108.0975,0,0,0,,107.65,-.41,10200,0,0,0
FUTIRC761GS203023-FEB-2017,108.04,0,0,0,,107.59,-.41,0,0,0,0
FUTIRC761GS203030-MAR-2017,107.9575,0,0,0,,107.5025,-.42,0,0,0,0
FUTIRC761GS203029-JUN-2017,107.69,0,0,0,,107.23,-.42,0,0,0,0
FUTIRC761GS203028-SEP-2017,107.435,0,0,0,,106.965,-.43,0,0,0,0
FUTIRC761GS203028-DEC-2017,107.1225,0,0,0,,106.6425,-.44,0,0,0,0
FUTIRC768GS202325-JAN-2017,106.3775,0,0,0,,106.0925,-.26,0,0,0,0
FUTIRC768GS202323-FEB-2017,106.3025,0,0,0,,106.015,-.27,0,0,0,0
FUTIRC768GS202330-MAR-2017,106.2,0,0,0,,105.9075,-.27,0,0,0,0
FUTIRC768GS202329-JUN-2017,105.9,0,0,0,,105.605,-.27,0,0,0,0
FUTIRC768GS202328-SEP-2017,105.59,0,0,0,,105.2875,-.28,0,0,0,0
FUTIRC768GS202328-DEC-2017,105.2425,0,0,0,,104.935,-.29,0,0,0,0
FUTIRC772GS202525-JAN-2017,106.8525,0,0,0,,106.6275,-.21,0,0,0,0
FUTIRC772GS202523-FEB-2017,106.7775,0,0,0,,106.5525,-.21,0,0,0,0
FUTIRC772GS202530-MAR-2017,106.6775,0,0,0,,106.4475,-.21,0,0,0,0
FUTIRC788GS203025-JAN-2017,109.09,109.1,109.1,108.33,108.5825,108.5825,-.46,24607,1771,1771,384465970
FUTIRC788GS203023-FEB-2017,108.9075,108.9,108.9,108.9,108.9,108.4425,-.42,6250,500,500,108900000
FUTIRC788GS203030-MAR-2017,108.8025,0,0,0,,108.3325,-.43,5000,0,0,0
FUTIRC788GS203029-JUN-2017,108.4725,0,0,0,,107.9975,-.43,0,0,0,0
FUTIRC788GS203028-SEP-2017,108.1725,0,0,0,,107.6875,-.44,0,0,0,0
FUTIRC788GS203028-DEC-2017,107.7925,0,0,0,,107.3,-.45,0,0,0,0
FUTIRT91DTB25-JAN-2017,98.495925,0,0,0,,98.497425,0,0,0,0,0
FUTIRT91DTB22-FEB-2017,98.520625,0,0,0,,98.521075,0,0,0,0,0
FUTIRT91DTB29-MAR-2017,98.5512,0,0,0,,98.54935,0,0,0,0,0
FUTIRT91DTB28-JUN-2017,98.6279,0,0,0,,98.6223,0,0,0,0,0
