DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
06-JAN-2017,FUTIRC,684GS2022,25-JAN-2017,101.8400000
06-JAN-2017,FUTIRC,684GS2022,23-FEB-2017,101.8100000
06-JAN-2017,FUTIRC,684GS2022,30-MAR-2017,101.7650000
06-JAN-2017,FUTIRC,684GS2022,29-JUN-2017,101.5950000
06-JAN-2017,FUTIRC,684GS2022,28-SEP-2017,101.4225000
06-JAN-2017,FUTIRC,684GS2022,28-DEC-2017,101.2100000
06-JAN-2017,FUTIRC,697GS2026,25-JAN-2017,104.0950000
06-JAN-2017,FUTIRC,697GS2026,23-FEB-2017,104.0750000
06-JAN-2017,FUTIRC,697GS2026,30-MAR-2017,104.0275000
06-JAN-2017,FUTIRC,697GS2026,29-JUN-2017,103.8425000
06-JAN-2017,FUTIRC,697GS2026,28-SEP-2017,103.6875000
06-JAN-2017,FUTIRC,697GS2026,28-DEC-2017,103.4600000
06-JAN-2017,FUTIRC,759GS2026,25-JAN-2017,106.9300000
06-JAN-2017,FUTIRC,759GS2026,23-FEB-2017,106.9650000
06-JAN-2017,FUTIRC,759GS2026,30-MAR-2017,106.8775000
06-JAN-2017,FUTIRC,759GS2026,29-JUN-2017,106.6000000
06-JAN-2017,FUTIRC,759GS2026,28-SEP-2017,106.3150000
06-JAN-2017,FUTIRC,759GS2026,28-DEC-2017,105.9875000
06-JAN-2017,FUTIRC,759GS2029,25-JAN-2017,106.5675000
06-JAN-2017,FUTIRC,759GS2029,23-FEB-2017,106.5100000
06-JAN-2017,FUTIRC,759GS2029,30-MAR-2017,106.4275000
06-JAN-2017,FUTIRC,759GS2029,29-JUN-2017,106.1175000
06-JAN-2017,FUTIRC,759GS2029,28-SEP-2017,105.8500000
06-JAN-2017,FUTIRC,759GS2029,28-DEC-2017,105.4925000
06-JAN-2017,FUTIRC,761GS2030,25-JAN-2017,107.6400000
06-JAN-2017,FUTIRC,761GS2030,23-FEB-2017,107.5825000
06-JAN-2017,FUTIRC,761GS2030,30-MAR-2017,107.5050000
06-JAN-2017,FUTIRC,761GS2030,29-JUN-2017,107.2175000
06-JAN-2017,FUTIRC,761GS2030,28-SEP-2017,106.9500000
06-JAN-2017,FUTIRC,761GS2030,28-DEC-2017,106.6150000
06-JAN-2017,FUTIRC,768GS2023,25-JAN-2017,106.1225000
06-JAN-2017,FUTIRC,768GS2023,23-FEB-2017,106.0450000
06-JAN-2017,FUTIRC,768GS2023,30-MAR-2017,105.9475000
06-JAN-2017,FUTIRC,768GS2023,29-JUN-2017,105.6325000
06-JAN-2017,FUTIRC,768GS2023,28-SEP-2017,105.3125000
06-JAN-2017,FUTIRC,768GS2023,28-DEC-2017,104.9475000
06-JAN-2017,FUTIRC,772GS2025,25-JAN-2017,106.7525000
06-JAN-2017,FUTIRC,772GS2025,23-FEB-2017,106.6775000
06-JAN-2017,FUTIRC,772GS2025,30-MAR-2017,106.5825000
06-JAN-2017,FUTIRC,788GS2030,25-JAN-2017,108.6025000
06-JAN-2017,FUTIRC,788GS2030,23-FEB-2017,108.5325000
06-JAN-2017,FUTIRC,788GS2030,30-MAR-2017,108.4350000
06-JAN-2017,FUTIRC,788GS2030,29-JUN-2017,108.0850000
06-JAN-2017,FUTIRC,788GS2030,28-SEP-2017,107.7750000
06-JAN-2017,FUTIRC,788GS2030,28-DEC-2017,107.3725000
06-JAN-2017,FUTIRT,91DTB,25-JAN-2017,98.5105500
06-JAN-2017,FUTIRT,91DTB,22-FEB-2017,98.5306750
06-JAN-2017,FUTIRT,91DTB,29-MAR-2017,98.5634250
06-JAN-2017,FUTIRT,91DTB,28-JUN-2017,98.6214000
