Equity: Daily Settlement Price files,,,,
DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-Jan-17,FUTIDX,NIFTY,25-Jan-17,8192.1
02-Jan-17,FUTIDX,NIFTY,23-Feb-17,8216.45
02-Jan-17,FUTIDX,NIFTY,30-Mar-17,8247.85
02-Jan-17,FUTIVX,INDIAVIX,03-Jan-17,1587
02-Jan-17,FUTIVX,INDIAVIX,10-Jan-17,1587
02-Jan-17,FUTIVX,INDIAVIX,17-Jan-17,1569.75
02-Jan-17,FUTSTK,ACC,25-Jan-17,1357.9
02-Jan-17,FUTSTK,ACC,23-Feb-17,1364.4
02-Jan-17,FUTSTK,ACC,30-Mar-17,1372.9
02-Jan-17,FUTSTK,ADANIENT,25-Jan-17,77.3
02-Jan-17,FUTSTK,ADANIENT,23-Feb-17,77.7
02-Jan-17,FUTSTK,ADANIENT,30-Mar-17,78.15
02-Jan-17,FUTSTK,ADANIPORTS,25-Jan-17,274.85
02-Jan-17,FUTSTK,ADANIPORTS,23-Feb-17,275.9
02-Jan-17,FUTSTK,ADANIPORTS,30-Mar-17,278.05
02-Jan-17,OPTSTK,ACC,,1351.9
02-Jan-17,OPTSTK,ADANIENT,,76.95
02-Jan-17,OPTSTK,ADANIPORTS,,273.8
